second,median,mad
358,85.560372,15.93221
359,85.512488,15.849092
360,85.567913,15.853011
361,85.563111,16.097792
362,85.539502,16.199971
363,85.549589,16.212064
364,85.231044,16.177413
365,85.262958,16.212299
366,85.136525,16.206745
367,85.046409,16.204149
368,85.01843,16.24216
369,84.915094,16.206814
370,84.948395,16.234561
371,84.887113,16.194834
372,84.832249,16.218113
373,84.883773,16.392281
374,84.869336,16.385011
375,84.919708,16.393471
376,84.99011,16.44909
377,84.970137,16.560909
378,84.954388,16.483554
379,85.16825,16.410571
380,85.402735,16.433013
381,85.415349,16.482623
382,85.305159,16.51876
383,85.391043,16.677164
384,85.475797,16.779995
385,85.574241,16.689437
386,85.441935,16.753335
387,85.616036,16.75212
388,85.64832,16.760224
389,85.696087,16.838962
390,85.763277,16.790948
391,85.755912,16.727366
392,85.698972,16.72362
393,85.587213,16.908893
394,85.597971,16.899501
395,85.556479,16.855698
396,85.503211,16.841938
397,85.335845,16.881026
398,85.368482,16.810708
399,85.326159,16.778898
400,85.254163,16.805336
401,85.18106,16.798084
402,85.274106,16.745136
403,85.3126,16.809366
404,85.272463,16.708791
405,85.260022,16.741241
406,85.224102,16.565021
407,85.288937,16.536601
408,85.288283,16.587876
409,85.360869,16.654281
410,85.294852,16.796199
411,85.227965,16.722754
412,85.229331,16.67828
413,85.375146,16.646668
414,85.348999,16.667813
415,85.346555,16.592355
416,85.39169,16.641618
417,85.332952,16.758018
418,85.32576,16.738896
419,85.322637,16.880288
420,85.278925,16.958182
421,85.28801,17.057006
422,85.261254,17.112757
423,85.225207,17.140313
424,85.197025,17.211418
425,85.22879,17.136537
426,85.097607,17.135784
427,85.072729,17.271628
428,84.94928,17.250521
429,84.924437,17.158132
430,84.893708,17.187493
431,84.929167,17.15773
432,84.963309,17.113146
433,84.880866,17.066084
434,84.828676,17.074423
435,84.760518,17.023767
436,84.79769,17.050416
437,84.709704,17.056249
438,84.596419,17.0372
439,84.652779,17.053143
440,84.670999,17.181848
441,84.604155,17.114172
442,84.626757,17.041694
443,84.587262,17.18533
444,84.653457,17.206015
445,84.686403,17.272543
446,84.758497,17.217144
447,84.665762,17.218037
448,84.646295,17.343407
449,84.612882,17.396278
450,84.535685,17.38659
451,84.574987,17.324431
452,84.59093,17.388518
453,84.456127,17.404465
454,84.357083,17.487103
455,84.346209,17.588777
456,84.440777,17.60758
457,84.401023,17.506684
458,84.353233,17.480767
459,84.473779,17.51312
460,84.467998,17.584759
461,84.500555,17.692632
462,84.647526,17.636611
463,84.823336,17.572357
464,84.771004,17.598127
465,84.678615,17.760184
466,84.520552,17.845886
467,84.534269,17.905739
468,84.478002,17.929138
469,84.518116,17.930918
470,84.507084,17.972
471,84.401376,18.06697
472,84.535391,18.030519
473,84.642752,17.911497
474,84.601444,17.869237
475,84.576458,17.849146
476,84.580226,17.907988
477,84.555787,17.915872
478,84.496811,17.983218
479,84.481926,18.043863
480,84.553437,17.930353
481,84.566273,18.021868
482,84.584063,18.080894
483,84.419981,18.172479
484,84.491388,18.29585
485,84.442531,18.358073
486,84.588889,18.322363
487,84.606492,18.327377
488,84.569997,18.34072
489,84.496901,18.403312
490,84.590719,18.480523
491,84.724302,18.609521
492,84.556563,18.677488
493,84.490979,18.729903
494,84.514844,18.660636
495,84.490505,18.739954
496,84.563724,18.694611
497,84.607483,18.714955
498,84.618249,18.672737
499,84.689611,18.577043
