second,median,mad
435,18.0,13.0
436,19.0,14.0
437,19.0,14.0
438,19.0,14.0
439,18.0,13.0
440,19.0,13.0
441,18.0,13.0
442,18.0,13.0
443,19.0,13.0
444,18.0,13.0
445,18.0,13.0
446,18.0,13.0
447,18.0,13.0
448,18.0,13.0
449,18.0,13.0
450,18.0,12.0
451,18.0,13.0
452,18.0,13.0
453,18.0,13.0
454,18.0,13.0
455,18.0,13.0
456,18.0,13.0
457,18.0,13.0
458,18.0,13.0
459,18.0,13.0
460,17.0,12.0
461,18.0,13.0
462,18.0,13.0
463,18.0,13.0
464,18.0,13.0
465,18.0,13.0
466,18.0,13.0
467,18.0,13.0
468,18.0,13.0
469,17.0,12.0
470,18.0,13.0
471,18.0,13.0
472,17.0,12.0
473,18.0,13.0
474,17.0,12.0
475,17.0,12.0
476,17.0,12.0
477,17.0,12.0
478,17.0,12.0
479,17.0,12.0
480,17.0,12.0
481,17.0,12.0
482,17.0,12.0
483,17.0,12.0
484,17.0,12.0
485,17.0,12.0
486,17.0,12.0
487,17.0,12.0
488,17.0,12.0
489,17.0,12.0
490,17.0,12.0
491,17.0,12.0
492,17.0,12.0
493,17.0,12.0
494,17.0,12.0
495,18.0,13.0
496,17.0,12.0
497,17.0,12.0
498,17.0,12.0
499,17.0,12.0
500,17.0,12.0
501,17.0,12.0
502,17.0,12.0
503,17.0,12.0
504,16.0,12.0
505,17.0,12.0
506,16.0,12.0
507,16.0,12.0
508,17.0,12.0
509,17.0,12.0
510,16.0,11.0
511,16.0,11.0
512,16.0,11.0
513,16.0,12.0
514,17.0,12.0
515,17.0,12.0
516,17.0,12.0
517,17.0,12.0
518,17.0,12.0
519,16.0,12.0
520,16.0,12.0
521,16.0,12.0
522,17.0,12.0
523,17.0,12.0
524,16.0,12.0
525,17.0,12.0
526,16.0,12.0
527,16.0,12.0
528,16.0,12.0
529,16.0,12.0
530,16.0,12.0
531,17.0,12.0
532,16.0,12.0
533,16.0,12.0
534,16.0,12.0
535,17.0,12.0
536,16.0,12.0
537,17.0,12.0
538,17.0,12.0
539,17.0,12.0
540,16.0,12.0
541,17.0,12.0
542,17.0,12.0
543,17.0,12.0
544,17.0,12.0
545,16.0,12.0
546,16.0,12.0
547,16.0,12.0
548,16.0,12.0
549,16.0,12.0
550,16.0,12.0
551,16.0,12.0
552,16.0,12.0
553,16.0,12.0
554,16.0,12.0
555,16.0,12.0
556,16.0,12.0
557,16.0,12.0
558,16.0,12.0
559,16.0,12.0
560,16.0,12.0
561,16.0,12.0
562,16.0,12.0
563,16.0,12.0
564,16.0,12.0
565,16.0,12.0
566,16.0,12.0
567,16.0,12.0
568,16.0,12.0
569,16.0,12.0
570,16.0,12.0
571,16.0,12.0
572,16.0,11.0
573,16.0,11.0
574,16.0,11.0
575,16.0,11.0
576,16.0,11.0
577,16.0,12.0
578,16.0,12.0
579,16.0,12.0
580,16.0,12.0
581,16.0,12.0
582,15.0,11.0
583,16.0,12.0
584,15.0,11.0
585,16.0,12.0
586,16.0,12.0
587,15.0,11.0
588,16.0,12.0
589,16.0,12.0
590,15.0,11.0
591,15.0,11.0
592,15.0,11.0
593,15.0,11.0
594,16.0,12.0
595,15.0,11.0
596,16.0,12.0
597,16.0,12.0
598,15.0,11.0
599,16.0,12.0
